dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000046,0.310000,0.000094,0.003750,0.075000,1.500000,0.000027
0.050000,0.000364,0.310000,0.000412,0.006357,0.052135,-0.457291,0.000211
0.050000,0.001079,0.310000,0.001127,0.014303,0.158918,2.135649,0.000626
0.050000,0.002350,0.310002,0.002398,0.025427,0.222481,1.271267,0.001363
0.050000,0.004336,0.310005,0.004384,0.039729,0.286039,1.271156,0.002516
0.050000,0.007197,0.310015,0.007245,0.057208,0.349589,1.271000,0.004176
0.050000,0.011090,0.310036,0.011138,0.077865,0.413130,1.270819,0.006436
0.050000,0.016175,0.310076,0.016223,0.101698,0.476663,1.270669,0.009388
0.050000,0.022610,0.310148,0.022658,0.128708,0.540196,1.270653,0.013124
0.050000,0.030554,0.310271,0.030603,0.158895,0.603743,1.270941,0.017738
0.050000,0.040165,0.310468,0.040216,0.192261,0.667333,1.271795,0.023321
0.050000,0.051601,0.310773,0.051657,0.228812,0.731012,1.273581,0.029964
0.050000,0.065021,0.311228,0.065085,0.268555,0.794852,1.276809,0.037758
0.050000,0.080582,0.311886,0.080660,0.311503,0.858960,1.282158,0.046789
0.050000,0.098442,0.312815,0.098544,0.357677,0.923485,1.290504,0.057144
0.050000,0.118757,0.314097,0.118899,0.407109,0.988633,1.302943,0.068900
0.050000,0.141684,0.315832,0.141891,0.459842,1.054673,1.320811,0.082130
0.050000,0.167377,0.318138,0.167688,0.515940,1.121957,1.345680,0.096897
0.050000,0.195993,0.321156,0.196462,0.575486,1.190923,1.379315,0.113249
0.050000,0.227684,0.325050,0.228392,0.638591,1.262103,1.423610,0.131217
0.050000,0.262446,0.329984,0.263502,0.702195,1.272075,0.199425,0.150720
0.050000,0.300112,0.336108,0.301663,0.763229,1.220671,-1.028062,0.171568
0.050000,0.340520,0.343569,0.342754,0.821809,1.171607,-0.981297,0.193552
0.050000,0.383502,0.352509,0.386656,0.878044,1.124707,-0.938000,0.216445
0.050000,0.428894,0.363055,0.433257,0.932026,1.079630,-0.901536,0.240006
0.050000,0.476531,0.375324,0.482448,0.983820,1.035876,-0.875078,0.263983
0.050000,0.526246,0.389412,0.534121,1.033460,0.992814,-0.861233,0.288118
0.050000,0.577876,0.405397,0.588168,1.080947,0.949729,-0.861712,0.312155
0.050000,0.631256,0.423331,0.644480,1.126240,0.905873,-0.877109,0.335842
0.050000,0.686224,0.443241,0.702944,1.169267,0.860532,-0.906828,0.358940
0.050000,0.742621,0.465130,0.763440,1.209921,0.813072,-0.949185,0.381227
0.050000,0.800291,0.488971,0.825843,1.248070,0.762990,-1.001659,0.402502
0.050000,0.859081,0.514712,0.890022,1.283566,0.709928,-1.061227,0.422588
0.050000,0.918844,0.542273,0.955834,1.316251,0.653691,-1.124740,0.441335
0.050000,0.979439,0.571554,1.023132,1.345962,0.594229,-1.189252,0.458617
0.050000,1.040729,0.602428,1.091759,1.372543,0.531615,-1.252274,0.474333
0.050000,1.102585,0.634751,1.161552,1.395844,0.466019,-1.311918,0.488409
0.050000,1.164883,0.668362,1.232338,1.415728,0.397671,-1.366954,0.500790
0.050000,1.227505,0.703083,1.303942,1.432069,0.326833,-1.416770,0.511443
0.050000,1.290335,0.738729,1.376179,1.444758,0.253768,-1.461297,0.520352
0.050000,1.353343,0.775148,1.448955,1.455520,0.215245,-0.770460,0.527526
0.050000,1.416579,0.812233,1.522263,1.466160,0.212798,-0.048930,0.532984
0.050000,1.480097,0.849877,1.596098,1.476701,0.210831,-0.039352,0.536742
0.050000,1.543955,0.887975,1.670457,1.487173,0.209422,-0.028170,0.538810
0.050000,1.608213,0.926419,1.745337,1.497604,0.208626,-0.015927,0.539197
0.050000,1.672936,0.965100,1.820739,1.508027,0.208470,-0.003118,0.537902
0.050000,1.738191,1.003911,1.896662,1.518475,0.208960,0.009795,0.534922
0.050000,1.804046,1.042738,1.973111,1.528979,0.210077,0.022353,0.530248
0.050000,1.870572,1.081466,2.050090,1.539568,0.211781,0.034079,0.523865
0.050000,1.937842,1.119978,2.127603,1.550269,0.214004,0.044456,0.515757
0.050000,2.005881,1.158123,2.205605,1.560042,0.195474,-0.370600,0.505908
0.050000,2.074625,1.195701,2.283950,1.566902,0.137201,-1.165465,0.494323
0.050000,2.143963,1.232491,2.362443,1.569856,0.059081,-1.562398,0.481027
0.050000,2.213765,1.268272,2.440883,1.568786,-0.021403,-1.609681,0.466064
0.050000,2.283889,1.302833,2.519061,1.563560,-0.104516,-1.662250,0.449499
0.050000,2.354170,1.335971,2.596762,1.554035,-0.190503,-1.719756,0.431421
0.050000,2.424424,1.367497,2.673765,1.540057,-0.279567,-1.781265,0.411943
0.050000,2.494441,1.397240,2.749838,1.521466,-0.371827,-1.845198,0.391206
0.050000,2.563992,1.425052,2.824744,1.498101,-0.467294,-1.909342,0.369372
0.050000,2.632820,1.450811,2.898234,1.469809,-0.565841,-1.970948,0.346634
0.050000,2.700650,1.474425,2.970056,1.436449,-0.667188,-2.026937,0.323203
0.050000,2.767184,1.495837,3.039952,1.397905,-0.770898,-2.074200,0.299311
0.050000,2.832113,1.515024,3.107656,1.354085,-0.876395,-2.109949,0.275205
0.050000,2.895112,1.532002,3.172903,1.304935,-0.983000,-2.132085,0.251138
0.050000,2.955852,1.546821,3.235424,1.250436,-1.089974,-2.139491,0.227369
0.050000,3.014002,1.559569,3.294955,1.190607,-1.196584,-2.132207,0.204154
0.050000,3.069232,1.570361,3.351230,1.125499,-1.302156,-2.111437,0.181738
0.050000,3.121222,1.579343,3.403989,1.055193,-1.406126,-2.079398,0.160356
0.050000,3.169659,1.586679,3.452979,0.979789,-1.508078,-2.039031,0.140224
0.050000,3.214244,1.592549,3.497949,0.899401,-1.607760,-1.993641,0.121543
0.050000,3.254807,1.597152,3.538773,0.816478,-1.658461,-1.014030,0.104442
0.050000,3.291408,1.600703,3.575546,0.735457,-1.620420,0.760824,0.088942
0.050000,3.324220,1.603399,3.608468,0.658438,-1.540370,1.600994,0.075002
0.050000,3.353427,1.605411,3.637743,0.585518,-1.458399,1.639421,0.062567
0.050000,3.379223,1.606885,3.663582,0.516769,-1.374989,1.668211,0.051567
0.050000,3.401810,1.607941,3.686194,0.452242,-1.290529,1.689198,0.041927
0.050000,3.421395,1.608681,3.705793,0.391976,-1.205326,1.704047,0.033564
0.050000,3.438187,1.609184,3.722593,0.335995,-1.119616,1.714202,0.026392
0.050000,3.452399,1.609516,3.736808,0.284317,-1.033573,1.720872,0.020322
0.050000,3.464245,1.609727,3.748656,0.236951,-0.947321,1.725030,0.015263
0.050000,3.473939,1.609855,3.758351,0.193903,-0.860949,1.727445,0.011124
0.050000,3.481698,1.609929,3.766110,0.155177,-0.774514,1.728702,0.007811
0.050000,3.487736,1.609968,3.772149,0.120775,-0.688052,1.729234,0.005234
0.050000,3.492271,1.609987,3.776684,0.090696,-0.601585,1.729347,0.003298
0.050000,3.495518,1.609996,3.779930,0.064939,-0.515122,1.729252,0.001912
0.050000,3.497693,1.609999,3.782106,0.043506,-0.428668,1.729081,0.000984
0.050000,3.499013,1.610000,3.783426,0.026395,-0.342223,1.728911,0.000421
0.050000,3.499693,1.610000,3.784106,0.013606,-0.255784,1.728780,0.000131
0.050000,3.499950,1.610000,3.784363,0.005138,-0.169349,1.728698,0.000021
0.050000,3.500000,1.610000,3.784412,0.000992,-0.082916,1.728657,6.283185
0.050000,3.500000,1.610000,3.784412,0.000000,-0.019850,1.261321,6.283185
