dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000062,-0.310000,0.000094,0.003750,0.075000,1.500000,0.000027
0.050000,0.000494,-0.310000,0.000526,0.008643,0.097865,0.457291,0.000211
0.050000,0.001467,-0.310000,0.001498,0.019447,0.216082,2.364351,0.000626
0.050000,0.003195,-0.309998,0.003227,0.034573,0.302519,1.728734,0.001363
0.050000,0.005896,-0.309993,0.005928,0.054021,0.388961,1.728841,0.002516
0.050000,0.009786,-0.309980,0.009818,0.077792,0.475411,1.728997,0.004176
0.050000,0.015080,-0.309951,0.015112,0.105885,0.561870,1.729176,0.006436
0.050000,0.021995,-0.309897,0.022027,0.138302,0.648336,1.729322,0.009388
0.050000,0.030747,-0.309798,0.030779,0.175042,0.734802,1.729331,0.013124
0.050000,0.041551,-0.309632,0.041584,0.216105,0.821254,1.729031,0.017738
0.050000,0.054622,-0.309363,0.054659,0.261488,0.907662,1.728166,0.023321
0.050000,0.070176,-0.308949,0.070218,0.311187,0.993980,1.726361,0.029964
0.050000,0.088425,-0.308330,0.088478,0.365194,1.080135,1.723108,0.037758
0.050000,0.109581,-0.307436,0.109653,0.423495,1.166022,1.717729,0.046789
0.050000,0.133852,-0.306173,0.133956,0.486069,1.251489,1.709346,0.057144
0.050000,0.161441,-0.304432,0.161600,0.552886,1.336332,1.696862,0.068900
0.050000,0.192547,-0.302079,0.192795,0.623900,1.420279,1.678941,0.082130
0.050000,0.227360,-0.298954,0.227748,0.699049,1.502980,1.654018,0.096897
0.050000,0.266058,-0.294872,0.266660,0.778249,1.583996,1.620321,0.113249
0.050000,0.308806,-0.289620,0.309730,0.861388,1.662795,1.575970,0.131217
0.050000,0.355539,-0.282988,0.356931,0.944029,1.652807,-0.199753,0.150720
0.050000,0.405964,-0.274790,0.408018,1.021739,1.554204,-1.972066,0.171568
0.050000,0.459774,-0.264854,0.462738,1.094402,1.453268,-2.018713,0.193552
0.050000,0.516653,-0.253025,0.520834,1.161911,1.350174,-2.061880,0.216445
0.050000,0.576273,-0.239174,0.582042,1.224174,1.245264,-2.098210,0.240006
0.050000,0.638306,-0.223198,0.646099,1.281126,1.139037,-2.124544,0.263983
0.050000,0.702418,-0.205031,0.712735,1.332732,1.032122,-2.138285,0.288118
0.050000,0.768284,-0.184641,0.781685,1.378994,0.925236,-2.137732,0.312155
0.050000,0.835585,-0.162032,0.852682,1.419950,0.819121,-2.122298,0.335842
0.050000,0.904019,-0.137246,0.925466,1.455675,0.714492,-2.092581,0.358940
0.050000,0.973298,-0.110360,0.999780,1.486274,0.611979,-2.050263,0.381227
0.050000,1.043158,-0.081481,1.075374,1.511878,0.512085,-1.997862,0.402502
0.050000,1.113357,-0.050747,1.152006,1.532636,0.415166,-1.938390,0.422588
0.050000,1.183676,-0.018320,1.229441,1.548707,0.321417,-1.874987,0.441335
0.050000,1.253918,0.015621,1.307454,1.560251,0.230887,-1.810589,0.458617
0.050000,1.323911,0.050877,1.385825,1.567427,0.143503,-1.747679,0.474333
0.050000,1.393502,0.087241,1.464344,1.570381,0.059096,-1.688135,0.488409
0.050000,1.462557,0.124495,1.542807,1.569253,-0.022563,-1.633187,0.500790
0.050000,1.530955,0.162419,1.621015,1.564166,-0.101735,-1.583439,0.511443
0.050000,1.598591,0.200790,1.698777,1.555232,-0.178683,-1.538964,0.520352
0.050000,1.665450,0.239434,1.776000,1.544474,-0.215175,-0.729843,0.527526
0.050000,1.731605,0.278230,1.852692,1.533836,-0.212744,0.048618,0.532984
0.050000,1.797127,0.317062,1.928857,1.523297,-0.210792,0.039052,0.536742
0.050000,1.862086,0.355817,2.004498,1.512827,-0.209398,0.027879,0.538810
0.050000,1.926550,0.394383,2.079618,1.502396,-0.208616,0.015642,0.539197
0.050000,1.990584,0.432653,2.154217,1.491972,-0.208474,0.002835,0.537902
0.050000,2.054251,0.470519,2.228293,1.481524,-0.208978,-0.010079,0.534922
0.050000,2.117609,0.507875,2.301844,1.471018,-0.210110,-0.022641,0.530248
0.050000,2.180715,0.544613,2.374865,1.460427,-0.211829,-0.034375,0.523865
0.050000,2.243622,0.580628,2.447351,1.449723,-0.214067,-0.044762,0.515757
0.050000,2.306334,0.615788,2.519247,1.437918,-0.236103,-0.440733,0.505908
0.050000,2.368776,0.649922,2.590410,1.423248,-0.293395,-1.145842,0.494323
0.050000,2.430830,0.682848,2.660659,1.404984,-0.365287,-1.437837,0.481027
0.050000,2.492377,0.714399,2.729821,1.383243,-0.434812,-1.390492,0.466064
0.050000,2.553288,0.744421,2.797729,1.358158,-0.501704,-1.337845,0.449499
0.050000,2.613431,0.772780,2.864222,1.329872,-0.565716,-1.280245,0.431421
0.050000,2.672666,0.799364,2.929149,1.298540,-0.626648,-1.218629,0.411943
0.050000,2.730849,0.824081,2.992365,1.264321,-0.684377,-1.154581,0.391206
0.050000,2.787831,0.846869,3.053734,1.227376,-0.738893,-1.090324,0.369372
0.050000,2.843455,0.867688,3.113127,1.187860,-0.790324,-1.028615,0.346634
0.050000,2.897565,0.886527,3.170423,1.145913,-0.838951,-0.972542,0.323203
0.050000,2.949999,0.903402,3.225506,1.101652,-0.885212,-0.925224,0.299311
0.050000,3.000594,0.918355,3.278264,1.055168,-0.929685,-0.889455,0.275205
0.050000,3.049186,0.931451,3.328590,1.006515,-0.973052,-0.867338,0.251138
0.050000,3.095610,0.942778,3.376375,0.955713,-1.016051,-0.859989,0.227369
0.050000,3.139700,0.952444,3.421512,0.902742,-1.059419,-0.867365,0.204154
0.050000,3.181290,0.960572,3.463890,0.847550,-1.103832,-0.888251,0.181738
0.050000,3.220217,0.967298,3.503393,0.790057,-1.149853,-0.920420,0.160356
0.050000,3.256313,0.972765,3.539901,0.730163,-1.197899,-0.960921,0.140224
0.050000,3.289415,0.977123,3.573288,0.667751,-1.248221,-1.006436,0.121543
0.050000,3.319444,0.980531,3.603510,0.604430,-1.266429,-0.364166,0.104442
0.050000,3.346480,0.983153,3.630673,0.543261,-1.223387,0.860839,0.088942
0.050000,3.370678,0.985142,3.654952,0.485588,-1.153456,1.398615,0.075002
0.050000,3.392192,0.986624,3.676518,0.431316,-1.085444,1.360248,0.062567
0.050000,3.411180,0.987709,3.695537,0.380372,-1.018868,1.331516,0.051567
0.050000,3.427797,0.988486,3.712172,0.332705,-0.953339,1.310584,0.041927
0.050000,3.442201,0.989030,3.726586,0.288278,-0.888550,1.295783,0.033564
0.050000,3.454549,0.989400,3.738939,0.247064,-0.824267,1.285668,0.026392
0.050000,3.464998,0.989644,3.749392,0.209049,-0.760315,1.279033,0.020322
0.050000,3.473708,0.989799,3.758103,0.174220,-0.696570,1.274901,0.015263
0.050000,3.480836,0.989893,3.765231,0.142573,-0.632945,1.272507,0.011124
0.050000,3.486541,0.989947,3.770936,0.114104,-0.569381,1.271265,0.007811
0.050000,3.490981,0.989976,3.775377,0.088812,-0.505844,1.270746,0.005234
0.050000,3.494316,0.989991,3.778712,0.066696,-0.442312,1.270640,0.003298
0.050000,3.496704,0.989997,3.781100,0.047757,-0.378775,1.270741,0.001912
0.050000,3.498304,0.989999,3.782700,0.031996,-0.315229,1.270916,0.000984
0.050000,3.499274,0.990000,3.783670,0.019412,-0.251675,1.271087,0.000421
0.050000,3.499775,0.990000,3.784170,0.010006,-0.188114,1.271219,0.000131
0.050000,3.499964,0.990000,3.784359,0.003779,-0.124549,1.271302,0.000021
0.050000,3.500000,0.990000,3.784396,0.000730,-0.060982,1.271342,6.283185
0.050000,3.500000,0.990000,3.784396,0.000000,-0.014599,0.927655,6.283185
